"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"BOLDfslfilter_46",538.7897,121,109,0,0.0832,0.0395,0.9257,0.9527,39844.7172,39385.5432,-19583.7716,0.5405,0.6258,0.6728,0.704,0.6659,0.7143,0.5778,0.685,0.644,0.6062,"converged normally"
"BOLDfslfilter_47",485.3707,123,107,0,0.0768,0.0405,0.9312,0.9555,39883.4105,39432.6616,-19609.3308,0.6162,0.592,0.6248,0.6099,0.6961,0.6402,0.6418,0.7463,0.6552,0.5464,"converged normally"
"BOLDfslfilter_48",361.3406,120,110,0,0.0635,0.0465,0.9497,0.9682,39809.5488,39346.1622,-19563.0811,0.4446,0.7614,0.6981,0.5682,0.6296,0.4633,0.5867,0.6171,0.6661,0.6648,"converged normally"
"BOLDfslfilter_49",520.292,122,108,0,0.0809,0.0474,0.9274,0.9534,39070.2184,38615.2569,-19199.6285,0.3143,0.6929,0.7132,0.6478,0.5805,0.7358,0.6026,0.5315,0.7709,0.5896,"converged normally"
"BOLDfslfilter_50",502.1328,123,107,0,0.0786,0.04,0.9295,0.9543,39700.551,39249.8021,-19517.9011,0.5546,0.6135,0.6218,0.6515,0.7012,0.7078,0.5967,0.6142,0.6608,0.5328,"converged normally"
"BOLDfslfilter_51",485.0384,122,108,0,0.0772,0.0371,0.9291,0.9545,39622.0093,39167.0478,-19475.5239,0.5659,0.5943,0.6982,0.6339,0.6269,0.6694,0.543,0.6291,0.6095,0.6746,"converged normally"
"BOLDfslfilter_52",428.7253,124,106,0,0.0702,0.0356,0.9504,0.9676,39197.0534,38750.5172,-19269.2586,0.5615,0.7009,0.7822,0.6873,0.6005,0.7866,0.6102,0.7272,0.6346,0.5891,"converged normally"
"BOLDfslfilter_53",557.4279,122,108,0,0.0846,0.0445,0.9254,0.9521,39745.0039,39290.0424,-19537.0212,0.5949,0.6596,0.6523,0.5746,0.6072,0.7434,0.5459,0.737,0.7749,0.6042,"converged normally"
"BOLDfslfilter_54",467.3279,119,111,0,0.0766,0.0415,0.9254,0.9533,39805.2171,39337.6178,-19557.8089,0.5657,0.6116,0.5921,0.6674,0.5774,0.7216,0.5121,0.6576,0.5526,0.6537,"converged normally"
"BOLDfslfilter_55",505.7523,122,108,0,0.0794,0.0414,0.9312,0.9558,39976.1748,39521.2133,-19652.6067,0.4429,0.5717,0.7186,0.6869,0.6799,0.6816,0.5589,0.603,0.7822,0.7123,"converged normally"
"BOLDfslfilter_56",526.383,119,111,0,0.0828,0.0377,0.9304,0.9564,40659.1031,40191.5038,-19984.7519,0.5984,0.7136,0.7631,0.6812,0.6601,0.5784,0.6115,0.6922,0.7861,0.7188,"converged normally"
"BOLDfslfilter_57",476.4355,121,109,0,0.0767,0.0402,0.9267,0.9533,39884.1449,39424.9709,-19603.4854,0.4833,0.6823,0.5295,0.6701,0.6969,0.6481,0.5952,0.6105,0.6639,0.5703,"converged normally"
"BOLDfslfilter_58",484.401,120,110,0,0.078,0.0468,0.9339,0.9583,40094.0475,39630.6608,-19705.3304,0.5412,0.7567,0.5969,0.731,0.6221,0.6984,0.6746,0.6641,0.7244,0.6536,"converged normally"
"BOLDfslfilter_59",518.0354,124,106,0,0.0798,0.0408,0.9307,0.9548,40125.1858,39678.6495,-19733.3248,0.5896,0.67,0.7326,0.6912,0.7272,0.6229,0.6383,0.6668,0.6394,0.5573,"converged normally"
"BOLDfslfilter_60",527.9847,121,109,0,0.0821,0.0407,0.9296,0.9552,39992.0209,39532.8468,-19657.4234,0.4728,0.7629,0.6724,0.7223,0.6533,0.7264,0.6553,0.7195,0.6659,0.561,"converged normally"
