"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","V9_r2","status"
"data1",89.3398,99,90,0.7461,0,0.0029,1.0001,1,-35084.3163,-35670.8456,17925.4228,0.7684,0.7591,0.8775,0.7882,0.8829,0.9997,0.9994,0.9992,0.9479,"converged normally"
"data10",135.6577,99,90,0.0085,0.0086,0.0048,0.9997,0.9998,-37260.3224,-37846.8518,19013.4259,0.7681,0.7536,0.8739,0.7854,0.8759,0.9996,0.9992,0.9989,0.9574,"converged normally"
"data11",103.3711,99,90,0.3619,0.003,0.003,1,1,-34471.7396,-35058.269,17619.1345,0.7872,0.7641,0.8809,0.7931,0.8814,0.9997,0.9994,0.9992,0.9498,"converged normally"
"data12",103.1015,99,90,0.3689,0.0029,0.0048,1,1,-32694.9125,-33281.4418,16730.7209,0.7916,0.7552,0.8794,0.7908,0.8817,0.9998,0.9996,0.9994,0.9525,"converged normally"
"data13",118.3523,99,90,0.0899,0.0063,0.0027,0.9999,0.9999,-37298.46,-37884.9894,19032.4947,0.782,0.7542,0.8746,0.7953,0.8852,0.9996,0.9992,0.9988,0.9565,"converged normally"
"data14",125.1546,99,90,0.039,0.0073,0.0035,0.9998,0.9999,-34764.5361,-35351.0655,17765.5327,0.804,0.7541,0.873,0.797,0.8845,0.9997,0.9994,0.9991,0.9501,"converged normally"
"data15",110.6253,99,90,0.1997,0.0048,0.0035,0.9999,0.9999,-35404.8174,-35991.3468,18085.6734,0.7878,0.7611,0.8715,0.794,0.8829,0.9996,0.9992,0.9989,0.9604,"converged normally"
"data16",108.1011,99,90,0.2498,0.0043,0.0041,0.9999,1,-35315.2323,-35901.7617,18040.8809,0.8009,0.7558,0.8747,0.8025,0.8914,0.9997,0.9994,0.9991,0.9518,"converged normally"
"data17",124.5344,99,90,0.0423,0.0072,0.0028,0.9998,0.9999,-36614.6722,-37201.2016,18690.6008,0.7853,0.7571,0.8829,0.789,0.881,0.9995,0.9992,0.9988,0.9606,"converged normally"
"data18",97.3615,99,90,0.5278,0,0.0027,1,1,-33283.2518,-33869.7812,17024.8906,0.7943,0.764,0.8847,0.7913,0.8789,0.9997,0.9994,0.9991,0.9577,"converged normally"
"data19",105.3035,99,90,0.3135,0.0036,0.0036,1,1,-33843.8206,-34430.3499,17305.175,0.793,0.7595,0.8868,0.7986,0.8877,0.9996,0.9993,0.9991,0.9642,"converged normally"
"data2",96.6711,99,90,0.5475,0,0.0028,1,1,-36359.6256,-36946.155,18563.0775,0.7691,0.7543,0.8767,0.7867,0.8774,0.9996,0.9992,0.9989,0.96,"converged normally"
"data20",88.961,99,90,0.7553,0,0.004,1.0001,1,-33408.1141,-33994.6435,17087.3218,0.7832,0.7639,0.8843,0.7965,0.8788,0.9997,0.9995,0.9993,0.9565,"converged normally"
"data21",69.6731,99,90,0.9889,0,0.0027,1.0002,1,-36696.5409,-37283.0703,18731.5351,0.7882,0.7512,0.8811,0.7892,0.88,0.9996,0.9993,0.999,0.9484,"converged normally"
"data22",99.4091,99,90,0.4695,9e-04,0.0043,1,1,-32555.2266,-33141.756,16660.878,0.7907,0.7603,0.8857,0.7897,0.8865,0.9997,0.9994,0.9991,0.9615,"converged normally"
"data23",85.1654,99,90,0.8377,0,0.0034,1.0001,1,-34743.7814,-35330.3108,17755.1554,0.7744,0.7631,0.879,0.7931,0.8849,0.9997,0.9994,0.9991,0.9608,"converged normally"
"data24",92.8361,99,90,0.6554,0,0.0045,1,1,-37241.9087,-37828.4381,19004.2191,0.7757,0.7513,0.8798,0.789,0.8771,0.9995,0.9991,0.9987,0.9634,"converged normally"
"data25",88.8009,99,90,0.7591,0,0.0034,1.0001,1,-36576.1864,-37162.7158,18671.3579,0.7895,0.7399,0.8667,0.7904,0.8807,0.9997,0.9994,0.9991,0.9564,"converged normally"
"data26",90.2519,99,90,0.7235,0,0.0033,1.0001,1,-35804.4981,-36391.0275,18285.5138,0.7809,0.7535,0.8849,0.7803,0.8778,0.9997,0.9995,0.9992,0.9511,"converged normally"
"data27",90.6928,99,90,0.7123,0,0.0031,1.0001,1,-33353.3992,-33939.9286,17059.9643,0.7688,0.7513,0.8747,0.7814,0.8743,0.9997,0.9995,0.9993,0.9663,"converged normally"
"data28",109.9792,99,90,0.2118,0.0047,0.0026,0.9999,0.9999,-35521.0751,-36107.6045,18143.8023,0.797,0.7395,0.8697,0.7921,0.8732,0.9996,0.9993,0.9989,0.9641,"converged normally"
"data29",109.5379,99,90,0.2204,0.0046,0.0043,0.9999,1,-34382.6828,-34969.2122,17574.6061,0.7792,0.7661,0.8797,0.7939,0.883,0.9997,0.9994,0.9992,0.9564,"converged normally"
"data3",98.3745,99,90,0.4989,0,0.0039,1,1,-35546.3764,-36132.9058,18156.4529,0.7913,0.7611,0.8836,0.7892,0.8783,0.9997,0.9995,0.9993,0.9458,"converged normally"
"data30",75.6258,99,90,0.9612,0,0.0026,1.0002,1,-35733.2701,-36319.7995,18249.8997,0.7938,0.7686,0.8829,0.7998,0.8874,0.9995,0.999,0.9986,0.9641,"converged normally"
"data31",75.9021,99,90,0.9592,0,0.0036,1.0002,1,-35670.1809,-36256.7103,18218.3552,0.7814,0.757,0.8924,0.7889,0.8755,0.9997,0.9994,0.9991,0.9491,"converged normally"
"data32",101.9967,99,90,0.3982,0.0025,0.0032,1,1,-35624.5776,-36211.107,18195.5535,0.7829,0.7589,0.8784,0.79,0.8832,0.9997,0.9993,0.999,0.96,"converged normally"
"data33",130.4633,99,90,0.0187,0.008,0.0043,0.9998,0.9999,-34562.3719,-35148.9013,17664.4507,0.7779,0.7545,0.878,0.7875,0.8768,0.9997,0.9995,0.9993,0.9528,"converged normally"
"data34",85.8256,99,90,0.8247,0,0.0027,1.0001,1,-36429.2992,-37015.8286,18597.9143,0.7788,0.7536,0.8828,0.7907,0.8733,0.9997,0.9994,0.9991,0.9409,"converged normally"
"data35",82.141,99,90,0.8898,0,0.003,1.0001,1,-36587.2174,-37173.7468,18676.8734,0.7839,0.758,0.8831,0.7878,0.8779,0.9996,0.9992,0.9988,0.9551,"converged normally"
