"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","status"
"data1",22.0595,11,54,0.0239,0.0142,0.001,0.9998,0.9999,52934.7154,52582.7977,-26237.3989,0.9575,0.9965,0.9989,0.9988,0.9308,"converged normally"
"data10",19.9211,11,54,0.0464,0.0127,9e-04,0.9998,1,56077.1742,55725.2565,-27808.6283,0.9619,0.9977,0.9993,0.9992,0.9531,"converged normally"
"data11",16.3901,11,54,0.1273,0.0099,0.0017,0.9999,1,53871.2493,53519.3317,-26705.6658,0.9592,0.9972,0.9991,0.999,0.9429,"converged normally"
"data12",15.5033,11,54,0.1606,0.009,0.0021,0.9999,1,53968.8505,53616.9329,-26754.4664,0.9567,0.997,0.9991,0.999,0.9411,"converged normally"
"data13",29.5294,11,54,0.0019,0.0184,0.0015,0.9996,0.9999,54955.024,54603.1064,-27247.5532,0.961,0.9973,0.9991,0.9991,0.9454,"converged normally"
"data14",24.8302,11,54,0.0097,0.0159,0.001,0.9997,0.9999,55109.4614,54757.5437,-27324.7719,0.9604,0.9976,0.9992,0.9992,0.9488,"converged normally"
"data15",14.7732,11,54,0.1931,0.0083,7e-04,0.9999,1,54076.6217,53724.7041,-26808.352,0.9596,0.997,0.999,0.9989,0.9363,"converged normally"
"data16",16.6179,11,54,0.1197,0.0101,4e-04,0.9999,1,55093.4708,54741.5532,-27316.7766,0.9592,0.9969,0.999,0.9989,0.9369,"converged normally"
"data17",23.8629,11,54,0.0133,0.0153,7e-04,0.9997,0.9999,55968.9492,55617.0316,-27754.5158,0.961,0.9976,0.9992,0.9992,0.9494,"converged normally"
"data18",29.4522,11,54,0.0019,0.0183,8e-04,0.9996,0.9999,54537.572,54185.6544,-27038.8272,0.9584,0.9971,0.9991,0.999,0.9407,"converged normally"
"data19",4.6859,11,54,0.9454,0,4e-04,1.0001,1,54735.3669,54383.4493,-27137.7246,0.96,0.9972,0.9991,0.999,0.9423,"converged normally"
