"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","V9_r2","status"
"data1",169.4398,61,128,0,0.0189,0.0028,0.9984,0.9994,28644.4396,27810.2645,-13777.1322,0.7747,0.9257,0.9257,0.9566,0.9341,0.9855,0.9735,0.9472,0.7638,"converged normally"
"data10",160.5596,61,128,0,0.0181,0.0026,0.9985,0.9994,30851.1536,30016.9785,-14880.4892,0.7783,0.9304,0.927,0.9531,0.9313,0.9846,0.9718,0.9444,0.7764,"converged normally"
"data11",174.3587,61,128,0,0.0193,0.0021,0.9983,0.9993,30220.3008,29386.1257,-14565.0629,0.7765,0.9245,0.93,0.9537,0.9335,0.986,0.9734,0.9427,0.7782,"converged normally"
"data12",192.749,61,128,0,0.0208,0.0033,0.998,0.9992,29814.2256,28980.0505,-14362.0252,0.7788,0.9265,0.9271,0.9529,0.9301,0.9856,0.9725,0.9451,0.7644,"converged normally"
"data13",110.7134,61,128,1e-04,0.0128,0.0027,0.9993,0.9997,30778.5846,29944.4095,-14844.2047,0.7791,0.9318,0.9267,0.9574,0.9326,0.986,0.9728,0.9462,0.7611,"converged normally"
"data14",171.1467,61,128,0,0.019,0.0028,0.9984,0.9994,32583.9779,31749.8027,-15746.9014,0.796,0.934,0.9305,0.959,0.9349,0.9867,0.974,0.9481,0.7713,"converged normally"
"data15",153.5844,61,128,0,0.0174,0.0029,0.9987,0.9995,31402.5262,30568.3511,-15156.1755,0.7923,0.9327,0.9335,0.957,0.9357,0.9864,0.9754,0.9491,0.7551,"converged normally"
"data16",194.8763,61,128,0,0.021,0.0033,0.998,0.9992,30381.342,29547.1669,-14645.5834,0.7729,0.929,0.932,0.9566,0.9324,0.986,0.9745,0.9496,0.7376,"converged normally"
"data17",135.3209,61,128,0,0.0156,0.0016,0.9989,0.9996,30722.2809,29888.1058,-14816.0529,0.7756,0.9267,0.9237,0.955,0.9307,0.9855,0.9722,0.9417,0.7584,"converged normally"
"data18",190.1878,61,128,0,0.0206,0.0028,0.9981,0.9992,29146.6131,28312.438,-14028.219,0.7754,0.9239,0.9234,0.9512,0.9274,0.9857,0.973,0.9444,0.76,"converged normally"
"data19",195.3126,61,128,0,0.021,0.0023,0.998,0.9992,29913.3806,29079.2055,-14411.6027,0.772,0.9271,0.9257,0.9528,0.9287,0.9847,0.9733,0.9452,0.7643,"converged normally"
"data2",217.8493,61,128,0,0.0227,0.0029,0.9977,0.9991,30943.5152,30109.34,-14926.67,0.7767,0.9268,0.9275,0.957,0.9285,0.9847,0.9713,0.9471,0.7615,"converged normally"
"data20",150.5301,61,128,0,0.0171,0.0028,0.9987,0.9995,30728.3245,29894.1494,-14819.0747,0.7739,0.9219,0.9257,0.9527,0.9321,0.9859,0.9731,0.9457,0.7599,"converged normally"
"data21",187.2408,61,128,0,0.0203,0.0023,0.9981,0.9993,31212.8539,30378.6787,-15061.3394,0.7782,0.928,0.9299,0.9555,0.9324,0.9857,0.9742,0.9489,0.767,"converged normally"
"data22",127.2727,61,128,0,0.0147,0.0015,0.999,0.9996,31545.3902,30711.2151,-15227.6076,0.7748,0.926,0.9284,0.9541,0.9308,0.9852,0.9747,0.9449,0.7694,"converged normally"
"data23",147.5131,61,128,0,0.0168,0.0025,0.9987,0.9995,29535.0074,28700.8323,-14222.4161,0.7743,0.927,0.9293,0.9542,0.9319,0.9856,0.9734,0.9474,0.7585,"converged normally"
"data24",207.7547,61,128,0,0.0219,0.0025,0.9978,0.9991,30620.3884,29786.2133,-14765.1066,0.7817,0.93,0.9228,0.9554,0.9305,0.9849,0.9724,0.9448,0.7714,"converged normally"
"data25",128.6217,61,128,0,0.0149,0.0018,0.999,0.9996,30010.1475,29175.9724,-14459.9862,0.7663,0.9251,0.9244,0.9493,0.9326,0.9855,0.9731,0.9435,0.7856,"converged normally"
"data26",204.334,61,128,0,0.0217,0.0026,0.9979,0.9992,32733.008,31898.8328,-15821.4164,0.793,0.936,0.9309,0.9592,0.9385,0.9868,0.9749,0.9482,0.7788,"converged normally"
"data27",151.7449,61,128,0,0.0173,0.0029,0.9987,0.9995,31055.2943,30221.1191,-14982.5596,0.7859,0.9301,0.9281,0.956,0.9368,0.9861,0.9756,0.9478,0.7461,"converged normally"
"data28",144.8105,61,128,0,0.0166,0.0019,0.9987,0.9995,30311.2731,29477.098,-14610.549,0.7585,0.917,0.9231,0.95,0.9263,0.9852,0.9725,0.9426,0.7456,"converged normally"
"data29",114.5137,61,128,0,0.0132,0.0027,0.9992,0.9997,31751.8378,30917.6627,-15330.8313,0.7735,0.927,0.9314,0.9542,0.9324,0.9863,0.9751,0.95,0.7791,"converged normally"
"data3",166.299,61,128,0,0.0186,0.0035,0.9985,0.9994,31375.6635,30541.4884,-15142.7442,0.7673,0.9292,0.9283,0.9536,0.938,0.9868,0.9748,0.9462,0.7658,"converged normally"
"data30",157.6637,61,128,0,0.0178,0.002,0.9986,0.9994,29088.9411,28254.766,-13999.383,0.7673,0.9225,0.9248,0.9531,0.932,0.9856,0.9738,0.9438,0.7513,"converged normally"
"data31",159.5209,61,128,0,0.018,0.0028,0.9985,0.9994,29130.0444,28295.8693,-14019.9347,0.7727,0.9259,0.9292,0.9536,0.9312,0.9857,0.9738,0.9467,0.7383,"converged normally"
"data32",157.2137,61,128,0,0.0178,0.0022,0.9986,0.9994,30954.0227,30119.8476,-14931.9238,0.7902,0.9355,0.9255,0.9586,0.9296,0.9849,0.9711,0.946,0.7474,"converged normally"
"data33",206.2393,61,128,0,0.0218,0.0022,0.9979,0.9991,32088.5102,31254.3351,-15499.1675,0.7857,0.9331,0.9263,0.9542,0.9316,0.9855,0.9737,0.9459,0.7633,"converged normally"
"data34",186.6762,61,128,0,0.0203,0.0021,0.9981,0.9993,31265.9605,30431.7853,-15087.8927,0.7584,0.9238,0.927,0.9501,0.9283,0.9862,0.9738,0.9464,0.777,"converged normally"
"data35",218.8427,61,128,0,0.0228,0.0031,0.9976,0.9991,29893.3148,29059.1396,-14401.5698,0.7691,0.9261,0.9282,0.9526,0.93,0.9851,0.9727,0.9432,0.761,"converged normally"
"data36",185.241,61,128,0,0.0202,0.0023,0.9982,0.9993,32128.1024,31293.9273,-15518.9636,0.7717,0.9288,0.9317,0.9536,0.9362,0.9867,0.9752,0.9482,0.7657,"converged normally"
"data37",167.3101,61,128,0,0.0187,0.0024,0.9984,0.9994,31044.2821,30210.107,-14977.0535,0.7843,0.9307,0.9323,0.9563,0.9327,0.9855,0.9752,0.9489,0.7421,"converged normally"
"data38",165.0707,61,128,0,0.0185,0.003,0.9985,0.9994,30287.7397,29453.5646,-14598.7823,0.7655,0.9233,0.9306,0.9529,0.9333,0.9861,0.9752,0.9477,0.7405,"converged normally"
