"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","status"
"data1",89.3398,99,90,0.7461,0,0.0029,1.0001,1,34908.0608,34321.5314,-17070.7657,0.7684,0.7591,0.8775,0.7882,0.8829,0.9997,0.9994,0.9992,0.9479,"converged normally"
"data10",135.6577,99,90,0.0085,0.0086,0.0048,0.9997,0.9998,42543.1552,41956.6258,-20888.3129,0.7681,0.7536,0.8739,0.7854,0.8759,0.9996,0.9992,0.9989,0.9574,"converged normally"
"data11",103.3711,99,90,0.3619,0.003,0.003,1,1,34375.5263,33788.9969,-16804.4985,0.7872,0.7641,0.8809,0.7931,0.8814,0.9997,0.9994,0.9992,0.9498,"converged normally"
"data12",103.1015,99,90,0.3689,0.0029,0.0048,1,1,24321.217,23734.6876,-11777.3438,0.7916,0.7552,0.8794,0.7908,0.8817,0.9998,0.9996,0.9994,0.9525,"converged normally"
"data13",118.3523,99,90,0.0899,0.0063,0.0027,0.9999,0.9999,43200.7106,42614.1813,-21217.0906,0.782,0.7542,0.8746,0.7953,0.8852,0.9996,0.9992,0.9988,0.9565,"converged normally"
"data14",125.1546,99,90,0.039,0.0073,0.0035,0.9998,0.9999,36844.6162,36258.0868,-18039.0434,0.804,0.7541,0.873,0.797,0.8845,0.9997,0.9994,0.9991,0.9501,"converged normally"
"data15",110.6253,99,90,0.1997,0.0048,0.0035,0.9999,0.9999,40561.7925,39975.2631,-19897.6315,0.7878,0.7611,0.8715,0.794,0.8829,0.9996,0.9992,0.9989,0.9604,"converged normally"
"data16",108.1011,99,90,0.2498,0.0043,0.0041,0.9999,1,33651.1571,33064.6278,-16442.3139,0.8009,0.7558,0.8747,0.8025,0.8914,0.9997,0.9994,0.9991,0.9518,"converged normally"
"data17",124.5344,99,90,0.0423,0.0072,0.0028,0.9998,0.9999,42346.0533,41759.5239,-20789.7619,0.7853,0.7571,0.8829,0.789,0.881,0.9995,0.9992,0.9988,0.9606,"converged normally"
"data18",97.3615,99,90,0.5278,0,0.0027,1,1,34174.4285,33587.8991,-16703.9495,0.7943,0.764,0.8847,0.7913,0.8789,0.9997,0.9994,0.9991,0.9577,"converged normally"
"data19",105.3035,99,90,0.3135,0.0036,0.0036,1,1,35591.1566,35004.6272,-17412.3136,0.793,0.7595,0.8868,0.7986,0.8877,0.9996,0.9993,0.9991,0.9642,"converged normally"
"data2",96.6711,99,90,0.5475,0,0.0028,1,1,41994,41407.4706,-20613.7353,0.7691,0.7543,0.8767,0.7867,0.8774,0.9996,0.9992,0.9989,0.96,"converged normally"
"data20",88.961,99,90,0.7553,0,0.004,1.0001,1,30543.8886,29957.3592,-14888.6796,0.7832,0.7639,0.8843,0.7965,0.8788,0.9997,0.9995,0.9993,0.9565,"converged normally"
"data21",69.6731,99,90,0.9889,0,0.0027,1.0002,1,41074.9621,40488.4327,-20154.2163,0.7882,0.7512,0.8811,0.7892,0.88,0.9996,0.9993,0.999,0.9484,"converged normally"
"data22",99.4091,99,90,0.4695,9e-04,0.0043,1,1,33393.8211,32807.2917,-16313.6459,0.7907,0.7603,0.8857,0.7897,0.8865,0.9997,0.9994,0.9991,0.9615,"converged normally"
"data23",85.1654,99,90,0.8377,0,0.0034,1.0001,1,33403.9315,32817.4021,-16318.701,0.7744,0.7631,0.879,0.7931,0.8849,0.9997,0.9994,0.9991,0.9608,"converged normally"
"data24",92.8361,99,90,0.6554,0,0.0045,1,1,45411.2944,44824.7651,-22322.3825,0.7757,0.7513,0.8798,0.789,0.8771,0.9995,0.9991,0.9987,0.9634,"converged normally"
"data25",88.8009,99,90,0.7591,0,0.0034,1.0001,1,38162.7656,37576.2362,-18698.1181,0.7895,0.7399,0.8667,0.7904,0.8807,0.9997,0.9994,0.9991,0.9564,"converged normally"
"data26",90.2519,99,90,0.7235,0,0.0033,1.0001,1,33184.3502,32597.8208,-16208.9104,0.7809,0.7535,0.8849,0.7803,0.8778,0.9997,0.9995,0.9992,0.9511,"converged normally"
"data27",90.6928,99,90,0.7123,0,0.0031,1.0001,1,29470.3558,28883.8265,-14351.9132,0.7688,0.7513,0.8747,0.7814,0.8743,0.9997,0.9995,0.9993,0.9663,"converged normally"
"data28",109.9792,99,90,0.2118,0.0047,0.0026,0.9999,0.9999,40630.9443,40044.4149,-19932.2075,0.797,0.7395,0.8697,0.7921,0.8732,0.9996,0.9993,0.9989,0.9641,"converged normally"
"data29",109.5379,99,90,0.2204,0.0046,0.0043,0.9999,1,34107.3389,33520.8095,-16670.4047,0.7792,0.7661,0.8797,0.7939,0.883,0.9997,0.9994,0.9992,0.9564,"converged normally"
"data3",98.3745,99,90,0.4989,0,0.0039,1,1,31716.3791,31129.8497,-15474.9249,0.7913,0.7611,0.8836,0.7892,0.8783,0.9997,0.9995,0.9993,0.9458,"converged normally"
"data30",75.6258,99,90,0.9612,0,0.0026,1.0002,1,44994.5756,44408.0462,-22114.0231,0.7938,0.7686,0.8829,0.7998,0.8874,0.9995,0.999,0.9986,0.9641,"converged normally"
"data31",75.9021,99,90,0.9592,0,0.0036,1.0002,1,37178.6049,36592.0755,-18206.0377,0.7814,0.757,0.8924,0.7889,0.8755,0.9997,0.9994,0.9991,0.9491,"converged normally"
"data32",101.9967,99,90,0.3982,0.0025,0.0032,1,1,37550.3995,36963.8701,-18391.9351,0.7829,0.7589,0.8784,0.79,0.8832,0.9997,0.9993,0.999,0.96,"converged normally"
"data33",130.4633,99,90,0.0187,0.008,0.0043,0.9998,0.9999,31266.9574,30680.428,-15250.214,0.7779,0.7545,0.878,0.7875,0.8768,0.9997,0.9995,0.9993,0.9528,"converged normally"
"data34",85.8256,99,90,0.8247,0,0.0027,1.0001,1,37989.1434,37402.614,-18611.307,0.7788,0.7536,0.8828,0.7907,0.8733,0.9997,0.9994,0.9991,0.9409,"converged normally"
"data35",82.141,99,90,0.8898,0,0.003,1.0001,1,44096.5879,43510.0585,-21665.0293,0.7839,0.758,0.8831,0.7878,0.8779,0.9996,0.9992,0.9988,0.9551,"converged normally"
"data36",72.2106,99,90,0.9803,0,0.0027,1.0002,1,41882.7736,41296.2442,-20558.1221,0.7907,0.7604,0.873,0.8026,0.8806,0.9996,0.9992,0.9988,0.9583,"converged normally"
"data37",88.6521,99,90,0.7627,0,0.0034,1.0001,1,38997.7717,38411.2423,-19115.6211,0.7724,0.7484,0.8661,0.786,0.8779,0.9997,0.9993,0.999,0.9573,"converged normally"
"data38",102.3407,99,90,0.3889,0.0026,0.0038,1,1,29554.5532,28968.0238,-14394.0119,0.7825,0.7442,0.8772,0.7874,0.8796,0.9998,0.9995,0.9993,0.9617,"converged normally"
"data39",128.4288,99,90,0.025,0.0077,0.0044,0.9998,0.9999,32450.595,31864.0656,-15842.0328,0.7998,0.7516,0.8695,0.7929,0.8787,0.9997,0.9995,0.9992,0.9505,"converged normally"
"data4",89.3386,99,90,0.7462,0,0.0039,1.0001,1,36593.9112,36007.3818,-17913.6909,0.7854,0.7658,0.8868,0.7963,0.8765,0.9997,0.9993,0.999,0.9605,"converged normally"
"data40",94.5876,99,90,0.6067,0,0.0036,1,1,37440.3662,36853.8369,-18336.9184,0.7611,0.7527,0.8883,0.7906,0.8818,0.9997,0.9994,0.9991,0.9511,"converged normally"
"data41",104.0318,99,90,0.345,0.0032,0.004,1,1,35510.3806,34923.8512,-17371.9256,0.7761,0.7558,0.8818,0.7843,0.8758,0.9997,0.9994,0.9991,0.9616,"converged normally"
"data42",110.335,99,90,0.2051,0.0048,0.0036,0.9999,0.9999,40194.2335,39607.7041,-19713.852,0.7769,0.7514,0.8827,0.7813,0.8718,0.9996,0.9993,0.999,0.9535,"converged normally"
"data43",78.2006,99,90,0.9392,0,0.0034,1.0002,1,42928.3947,42341.8654,-21080.9327,0.7861,0.7561,0.8838,0.7916,0.8856,0.9995,0.9992,0.9987,0.9605,"converged normally"
"data44",123.9441,99,90,0.0456,0.0071,0.0038,0.9998,0.9999,38162.427,37575.8976,-18697.9488,0.7854,0.7664,0.8791,0.7935,0.8796,0.9996,0.9993,0.999,0.9658,"converged normally"
"data45",110.1919,99,90,0.2078,0.0048,0.0037,0.9999,0.9999,36575.1179,35988.5885,-17904.2943,0.7909,0.771,0.8857,0.7959,0.8839,0.9996,0.9994,0.9991,0.9539,"converged normally"
