"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","status"
"data1",41.4584,39,51,0.364,0.0036,0.0015,1,1,21166.817,20834.4504,-10366.2252,0.9865,0.9718,0.9927,0.9981,0.9918,0.4031,"converged normally"
"data10",27.0003,39,51,0.9268,0,0.0024,1.0001,1,20198.7812,19866.4145,-9882.2072,0.9864,0.9739,0.9928,0.9982,0.9919,0.4497,"converged normally"
"data11",52.9432,39,51,0.0674,0.0085,0.0026,0.9998,0.9999,23783.5268,23451.1602,-11674.5801,0.9867,0.9711,0.9915,0.9978,0.9908,0.4212,"converged normally"
"data12",31.2372,39,51,0.8074,0,0.0028,1.0001,1,22761.4656,22429.0989,-11163.5495,0.9875,0.9719,0.9918,0.9979,0.991,0.4402,"converged normally"
"data13",36.5099,39,51,0.584,0,0.0027,1,1,15849.479,15517.1124,-7707.5562,0.987,0.9752,0.994,0.9985,0.9932,0.4304,"converged normally"
"data14",36.0411,39,51,0.6056,0,0.0022,1,1,24175.9415,23843.5748,-11870.7874,0.9893,0.9743,0.9909,0.9976,0.9905,0.4138,"converged normally"
"data15",33.3438,39,51,0.725,0,0.0025,1.0001,1,20892.712,20560.3453,-10229.1727,0.9877,0.974,0.9923,0.998,0.9916,0.4366,"converged normally"
"data16",41.5412,39,51,0.3606,0.0036,0.0018,1,1,22474.7768,22142.4102,-11020.2051,0.9861,0.9713,0.9923,0.9979,0.9908,0.442,"converged normally"
"data17",35.4549,39,51,0.6324,0,0.005,1,1,20037.4575,19705.0909,-9801.5454,0.9878,0.9741,0.9926,0.9981,0.9921,0.4377,"converged normally"
"data18",43.5345,39,51,0.2845,0.0048,0.0018,0.9999,1,22403.7129,22071.3463,-10984.6731,0.9867,0.971,0.9921,0.9981,0.9911,0.4184,"converged normally"
"data19",38.7754,39,51,0.48,0,0.0044,1,1,24291.0294,23958.6627,-11928.3314,0.9871,0.9702,0.9916,0.9977,0.9906,0.4276,"converged normally"
"data2",51.5536,39,51,0.086,0.008,0.0046,0.9999,0.9999,20818.324,20485.9574,-10191.9787,0.9884,0.9738,0.9922,0.998,0.9915,0.4306,"converged normally"
"data20",38.0462,39,51,0.5132,0,0.0034,1,1,23939.1965,23606.8299,-11752.4149,0.9874,0.9711,0.9918,0.9978,0.9904,0.4098,"converged normally"
"data21",30.0047,39,51,0.849,0,0.0035,1.0001,1,22229.9215,21897.5549,-10897.7774,0.9881,0.973,0.9919,0.9979,0.9912,0.4223,"converged normally"
"data22",51.0372,39,51,0.0939,0.0079,0.0046,0.9999,0.9999,20595.1163,20262.7497,-10080.3748,0.9872,0.9739,0.9927,0.9981,0.9917,0.4325,"converged normally"
"data23",30.2802,39,51,0.8402,0,0.0033,1.0001,1,22584.7891,22252.4225,-11075.2112,0.989,0.9741,0.9917,0.9978,0.9908,0.4273,"converged normally"
"data24",36.844,39,51,0.5686,0,0.0031,1,1,14653.8971,14321.5305,-7109.7652,0.9882,0.9769,0.994,0.9985,0.9932,0.4282,"converged normally"
"data25",35.4136,39,51,0.6342,0,0.0026,1,1,25071.8259,24739.4593,-12318.7296,0.9857,0.97,0.9914,0.9978,0.9905,0.4007,"converged normally"
"data26",48.7482,39,51,0.1362,0.0071,0.0052,0.9999,0.9999,25956.6454,25624.2787,-12761.1394,0.9866,0.9695,0.991,0.9976,0.9904,0.413,"converged normally"
"data27",39.6063,39,51,0.4428,0.0018,0.005,1,1,18747.0222,18414.6555,-9156.3278,0.9884,0.9747,0.9931,0.9982,0.9919,0.4342,"converged normally"
"data28",27.5724,39,51,0.9147,0,0.0023,1.0001,1,23068.8817,22736.5151,-11317.2575,0.9871,0.9724,0.9917,0.9979,0.9909,0.4131,"converged normally"
"data29",31.0648,39,51,0.8135,0,0.0024,1.0001,1,20587.2913,20254.9246,-10076.4623,0.9876,0.9734,0.9923,0.9981,0.9915,0.4451,"converged normally"
"data3",34.1091,39,51,0.6923,0,0.0016,1.0001,1,19206.9176,18874.551,-9386.2755,0.9871,0.974,0.9933,0.9982,0.9918,0.4231,"converged normally"
"data30",39.7605,39,51,0.436,0.002,0.0041,1,1,20001.4453,19669.0787,-9783.5393,0.9885,0.9746,0.9925,0.998,0.9916,0.4578,"converged normally"
"data31",45.2173,39,51,0.2283,0.0056,0.0035,0.9999,1,18703.0398,18370.6732,-9134.3366,0.988,0.9747,0.993,0.9982,0.9925,0.4373,"converged normally"
"data32",41.5216,39,51,0.3614,0.0036,0.002,1,1,19817.6314,19485.2647,-9691.6324,0.9864,0.9724,0.993,0.9982,0.992,0.4214,"converged normally"
"data33",38.6309,39,51,0.4866,0,0.0042,1,1,20953.1862,20620.8195,-10259.4098,0.9867,0.9719,0.9924,0.9981,0.9916,0.4492,"converged normally"
"data34",36.0378,39,51,0.6057,0,0.0039,1,1,20878.3052,20545.9385,-10221.9693,0.9864,0.9728,0.9925,0.9981,0.9915,0.4379,"converged normally"
