"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X1",0.005,0.0058,0.0049,0,0.007,0,0,0,0,0,0,0,0,0.0065,0,0,0,0
"X2",0.0132,0.0208,0.0134,0.0103,0,0,0,0,0,0.0277,0,0,0,0,0,0,0,0
"X3",0,0,0.0135,0,0.0117,0,0,0,0,0.0139,0.0141,0,0,0,0,0,0,0
"X4",0.012,0.0186,0.0139,0.0125,0.0098,0,0,0,0,0.0268,0.0126,0.0092,0,0,0,0,0,0
"X5",0,0.0147,0.0164,0,0.0201,0,0,0.0263,0,0,0.0163,0,0.0223,0,0,0,0.036,0
"X6",0,0,0,6e-04,0,0.009,0,0.0012,5e-04,0,0,0,0,0,0,0.0092,0,5e-04
"X7",0,0,0,7e-04,4e-04,0.0072,0.0049,0.0011,2e-04,0,0,0,0,0,0.0074,0,0.0013,0
"X8",0,0.0034,0.004,0.0045,0.0044,0,0,0.003,0,0,0.0038,0.003,0.0046,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.0122,0,0,0,0,0,0,0,0,0
