"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","status"
"data1",5.567,8,57,0.6956,0,0.0019,1.0001,1,21421.0064,21049.5378,-10467.7689,0.9924,0.99,0.7825,0.9303,0.9471,"converged normally"
"data10",10.1594,8,57,0.254,0.0073,0.0026,0.9999,1,20717.3213,20345.8526,-10115.9263,0.9931,0.99,0.7841,0.9295,0.9463,"converged normally"
"data11",3.6102,8,57,0.8905,0,0.0025,1.0002,1,24817.8661,24446.3975,-12166.1987,0.9923,0.9892,0.7718,0.9174,0.9355,"converged normally"
"data12",16.5642,8,57,0.035,0.0146,0.0034,0.9996,0.9999,19610.5708,19239.1021,-9562.5511,0.9934,0.9896,0.7974,0.9293,0.9464,"converged normally"
"data13",4.8013,8,57,0.7786,0,0.0017,1.0001,1,21480.8621,21109.3935,-10497.6968,0.9924,0.9901,0.7864,0.9299,0.9461,"converged normally"
"data14",4.3597,8,57,0.8233,0,0.0016,1.0002,1,24716.2596,24344.791,-12115.3955,0.9927,0.9895,0.785,0.9144,0.9329,"converged normally"
"data15",15.5343,8,57,0.0496,0.0137,0.0046,0.9996,0.9999,25761.9544,25390.4858,-12638.2429,0.992,0.9898,0.7775,0.9121,0.9301,"converged normally"
"data16",12.84,8,57,0.1175,0.011,0.0047,0.9998,1,22667.3594,22295.8908,-11090.9454,0.9924,0.989,0.7761,0.9282,0.9448,"converged normally"
"data17",6.2188,8,57,0.6227,0,0.0018,1.0001,1,22219.0858,21847.6172,-10866.8086,0.9932,0.9904,0.7815,0.9216,0.9367,"converged normally"
"data18",17.4751,8,57,0.0255,0.0154,0.0049,0.9996,0.9999,20441.9218,20070.4531,-9978.2266,0.9926,0.99,0.7895,0.9326,0.9502,"converged normally"
"data19",7.4629,8,57,0.4876,0,0.0017,1,1,22443.9421,22072.4735,-10979.2368,0.9926,0.9907,0.7827,0.925,0.9412,"converged normally"
"data2",7.2973,8,57,0.5049,0,0.0027,1,1,21252.6788,20881.2102,-10383.6051,0.9925,0.9896,0.7815,0.9312,0.9476,"converged normally"
"data20",13.2066,8,57,0.1049,0.0114,0.002,0.9998,1,20986.9374,20615.4688,-10250.7344,0.9925,0.9898,0.7862,0.9317,0.9503,"converged normally"
"data21",11.7525,8,57,0.1626,0.0097,0.0024,0.9998,1,22515.155,22143.6864,-11014.8432,0.9927,0.989,0.7882,0.9238,0.9435,"converged normally"
"data22",15.3235,8,57,0.0532,0.0135,0.0021,0.9996,0.9999,27083.2738,26711.8052,-13298.9026,0.9926,0.9878,0.7696,0.9078,0.9275,"converged normally"
"data23",9.5573,8,57,0.2975,0.0062,0.0036,0.9999,1,23218.1916,22846.723,-11366.3615,0.9924,0.9896,0.7841,0.9218,0.941,"converged normally"
"data24",19.5167,8,57,0.0123,0.017,0.0058,0.9994,0.9999,25015.8995,24644.4309,-12265.2154,0.9934,0.9909,0.7877,0.9025,0.9225,"converged normally"
